sdl_id,lat,lon,tiff_url,ecw_url
MAP342b_15,49.28799,-123.03313,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_15.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_15.ecw
MAP342b_16,49.2782,-123.05477,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_16.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_16.ecw
MAP342b_17,49.27816,-123.03351,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_17.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_17.ecw
MAP342b_18,49.26907,-123.09326,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_18.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_18.ecw
MAP342b_19,49.27034,-123.07648,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_19.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_19.ecw
MAP342b_20,49.26955,-123.0548,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_20.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_20.ecw
MAP342b_21,49.26957,-123.03378,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_21.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_21.ecw
MAP342b_22,49.26075,-123.09423,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_22.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_22.ecw
MAP342b_23,49.26115,-123.07511,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_23.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_23.ecw
MAP342b_24,49.26106,-123.05528,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_24.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_24.ecw
MAP342b_25,49.26111,-123.03367,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_25.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_25.ecw
MAP342b_26,49.25311,-123.09434,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_26.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_26.ecw
MAP342b_27,49.25181,-123.07478,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_27.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_27.ecw
MAP342b_28,49.25188,-123.05595,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_28.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_28.ecw
MAP342b_29,49.25179,-123.03403,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_29.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_29.ecw
MAP342b_30,49.24384,-123.09458,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_30.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_30.ecw
MAP342b_31,49.24343,-123.07459,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_31.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_31.ecw
MAP342b_32,49.24268,-123.05447,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_32.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_32.ecw
MAP342b_33,49.24266,-123.03468,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_33.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_33.ecw
MAP342b_34,49.23418,-123.09508,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_34.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_34.ecw
MAP342b_35,49.23381,-123.07473,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_35.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_35.ecw
MAP342b_36,49.2343,-123.05431,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_36.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_36.ecw
MAP342b_37,49.23411,-123.03477,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_37.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_37.ecw
MAP342b_38,49.22487,-123.09521,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_38.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_38.ecw
MAP342b_39,49.22453,-123.07522,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_39.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_39.ecw
MAP342b_40,49.225,-123.05487,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_40.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_40.ecw
MAP342b_41,49.22476,-123.0328,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_41.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_41.ecw
MAP342b_42,49.21568,-123.09556,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_42.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_42.ecw
MAP342b_43,49.21654,-123.07544,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_43.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_43.ecw
MAP342b_44,49.21599,-123.05488,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_44.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_44.ecw
MAP342b_45,49.21568,-123.03426,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_45.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_45.ecw
MAP342b_46,49.20757,-123.09608,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_46.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_46.ecw
MAP342b_47,49.20909,-123.07622,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_47.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_47.ecw
MAP342b_48,49.20816,-123.05547,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_48.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_48.ecw
MAP342b_49,49.20663,-123.0341,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_49.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_49.ecw
