id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
124,B,3371,3804,3394,3830,3371,3804,3394,3830,r3c2,,,,,0,
587,16,2130,3817,2165,3852,2130,3817,2165,3852,r3c1@30,,,,,30,
2236,Atlantec,3639,3821,3773,3922,3639,3821,3773,3922,r3c2@60,,,,,60,
172,212,3420,3831,3463,3862,3420,3831,3463,3862,r3c2,,,,,0,
173,212,3421,3834,3463,3864,3421,3834,3463,3864,r3c2,,,,,0,
631,15,2164,3847,2197,3881,2164,3847,2197,3881,r3c1@30,,,,,30,
258,B,3558,3847,3578,3873,3558,3847,3578,3873,r3c2,,,,,0,
154,Hotel,3673,3868,3753,3934,3673,3868,3753,3934,r3c3,,,,,0,
487,CORDOVA ST. WEST,3341,3877,3831,4052,3341,3877,3831,4052,r3c3,,,,,0,
681,14,2195,3880,2228,3914,2195,3880,2228,3914,r3c1@30,,,,,30,
529,20,2082,3889,2110,3918,2082,3889,2110,3918,r3c1@60,,,,,60,
0,12,4040,3891,4068,3922,4040,3891,4068,3922,r3c3,,,,,0,
759,Dominion,2141,3893,2271,3996,2141,3893,2271,3996,r3c1@30,,,,,30,
598,16,2705,3905,2743,3940,2705,3905,2743,3940,r3c2@60,,,,,60,
88,Hotel,4361,3907,4441,3954,4361,3907,4441,3954,r3c3,,,,,0,
734,13,2224,3910,2258,3945,2224,3910,2258,3945,r3c1@30,,,,,30,
542,30,2092,3911,2123,3943,2092,3911,2123,3943,r3c1@60,,,,,60,
772,Trusts Bead,2130,3913,2280,4033,2130,3913,2280,4033,r3c1@30,,,,,30,
780,12,2252,3933,2283,3965,2252,3933,2283,3965,r3c1@30,,,,,30,
29,5,2832,3937,2850,3965,2832,3937,2850,3965,r3c2,,,,,0,
554,Dominion,2028,3956,2133,4082,2028,3956,2133,4082,r3c1@60,,,,,60,
572,Trusts Bldg.,2043,3966,2152,4111,2043,3966,2152,4111,r3c1@60,,,,,60,
2248,Bldg.,2206,3966,2270,4039,2206,3966,2270,4039,r3c2@60,,,,,60,
618,Metopole,3120,3966,3303,4144,3120,3966,3303,4144,r3c2@60,,,,,60,
1,41,2938,3971,2971,4003,2938,3971,2971,4003,r3c2,,,,,0,
71,15,4370,3979,4398,4005,4370,3979,4398,4005,r3c3,,,,,0,
549,13,2096,3983,2131,4016,2096,3983,2131,4016,r3c1@60,,,,,60,
12,Russ,4101,3983,4180,4020,4101,3983,4180,4020,r3c3,,,,,0,
157,168,3389,3996,3437,4025,3389,3996,3437,4025,r3c2,,,,,0,
496,3,3045,3998,3076,4032,3045,3998,3076,4032,r3c2@30,,,,,30,
269,Commercial,2402,3999,2567,4057,2402,3999,2567,4057,r3c2,,,,,0,
1686,Hotel.,2427,4004,2526,4085,2427,4004,2526,4085,r3c1@30,,,,,30,
21,Hotel,4089,4006,4184,4049,4089,4006,4184,4049,r3c3,,,,,0,
575,12,2119,4007,2155,4043,2119,4007,2155,4043,r3c1@60,,,,,60,
506,2,3143,4021,3174,4055,3143,4021,3174,4055,r3c2@30,,,,,30,
91,Hotel,3289,4022,3335,4109,3289,4022,3335,4109,r3c2,,,,,0,
149,OFFICIAL,3362,4062,3428,4095,3362,4062,3428,4095,r3c2,,,,,0,
1207,BOR,2362,4063,2431,4134,2362,4063,2431,4134,r3c1@30,,,,,30,
596,1,3266,4063,3284,4085,3266,4063,3284,4085,r3c2@30,,,,,30,
676,16,3315,4075,3339,4097,3315,4075,3339,4097,r3c2@30,,,,,30,
44,4,2890,4080,2931,4126,2890,4080,2931,4126,r3c2,,,,,0,
399,U.G.T.,3366,4083,3412,4108,3366,4083,3412,4108,r3c3,,,,,0,
286,of 9,2377,4092,2437,4128,2377,4092,2437,4128,r3c2,,,,,0,
302,Vancouver,2351,4094,2504,4168,2351,4094,2504,4168,r3c2,,,,,0,
960,11,2506,4113,2556,4162,2506,4113,2556,4162,r3c2@60,,,,,60,
288,8,3485,4114,3516,4145,3485,4114,3516,4145,r3c3,,,,,0,
1277,Travellers,3433,4122,3561,4222,3433,4122,3561,4222,r3c2@30,,,,,30,
183,10,2515,4126,2546,4152,2515,4126,2546,4152,r3c2,,,,,0,
56,WALLER BLK,4051,4128,4161,4165,4051,4128,4161,4165,r3c3,,,,,0,
737,Hotel,2617,4129,2725,4240,2617,4129,2725,4240,r3c2@60,,,,,60,
203,7,3602,4151,3625,4178,3602,4151,3625,4178,r3c3,,,,,0,
778,Mamida,3781,4155,3933,4305,3781,4155,3933,4305,r3c3@60,,,,,60,
119,Mann,3826,4158,3892,4295,3826,4158,3892,4295,r3c3,,,,,0,
92,Hotel,3797,4160,3846,4244,3797,4160,3846,4244,r3c3,,,,,0,
127,6,3708,4171,3731,4198,3708,4171,3731,4198,r3c3,,,,,0,
2233,22,4124,4175,4147,4196,4124,4175,4147,4196,r4c3@30,,,,,30,
489,W,2228,4183,2299,4266,2228,4183,2299,4266,r4c2,,,,,0,
490,102,2649,4183,2689,4229,2649,4183,2689,4229,r4c2,,,,,0,
77,12,2744,4183,2772,4212,2744,4183,2772,4212,r3c2,,,,,0,
491,Hotel.,3431,4183,3520,4221,3431,4183,3520,4221,r4c2,,,,,0,
858,WARDS,3291,4184,3419,4346,3291,4184,3419,4346,r3c2@30,,,,,30,
2209,10,4201,4185,4224,4206,4201,4185,4224,4206,r4c3@30,,,,,30,
87,Crenne,4035,4189,4124,4235,4035,4189,4124,4235,r3c3,,,,,0,
98,Hotel,4025,4191,4118,4257,4025,4191,4118,4257,r3c3,,,,,0,
2193,12,4232,4193,4254,4213,4232,4193,4254,4213,r4c3@30,,,,,30,
408,102,2658,4198,2687,4232,2658,4198,2687,4232,r4c2,,,,,0,
2164,60,4193,4203,4215,4223,4193,4203,4215,4223,r4c3@30,,,,,30,
2163,14,4258,4203,4280,4223,4258,4203,4280,4223,r4c3@30,,,,,30,
686,18,2847,4209,2895,4253,2847,4209,2895,4253,r3c2@60,,,,,60,
396,12,4279,4211,4304,4228,4279,4211,4304,4228,r4c3,,,,,0,
1148,187,2390,4214,2418,4239,2390,4214,2418,4239,r3c1@30,,,,,30,
95,13,2852,4214,2884,4246,2852,4214,2884,4246,r3c2,,,,,0,
2128,3,4319,4216,4337,4234,4319,4216,4337,4234,r4c3@30,,,,,30,
1129,Departmental,3125,4219,3339,4437,3125,4219,3339,4437,r3c2@60,,,,,60,
383,8,4312,4220,4338,4238,4312,4220,4338,4238,r4c3,,,,,0,
2090,6,4354,4224,4375,4245,4354,4224,4375,4245,r4c3@30,,,,,30,
2053,4,4377,4232,4396,4251,4377,4232,4396,4251,r4c3@30,,,,,30,
371,102,2417,4235,2437,4252,2417,4235,2437,4252,r4c2,,,,,0,
368,4,3937,4237,3965,4267,3937,4237,3965,4267,r4c3,,,,,0,
367,102,2494,4238,2514,4257,2494,4238,2514,4257,r4c2,,,,,0,
365,102,2440,4241,2460,4258,2440,4241,2460,4258,r4c2,,,,,0,
1538,157,2466,4244,2497,4272,2466,4244,2497,4272,r3c1@30,,,,,30,
1998,9,4413,4244,4429,4259,4413,4244,4429,4259,r4c3@30,,,,,30,
868,Stoic,3134,4245,3234,4350,3134,4245,3234,4350,r3c2@60,,,,,60,
362,102,2460,4246,2478,4263,2460,4246,2478,4263,r4c2,,,,,0,
361,102,2478,4248,2498,4264,2478,4248,2498,4264,r4c2,,,,,0,
110,14,2967,4248,2999,4277,2967,4248,2999,4277,r3c2,,,,,0,
1978,30,4368,4248,4395,4274,4368,4248,4395,4274,r4c3@30,,,,,30,
1416,BLACK,2435,4249,2474,4281,2435,4249,2474,4281,r3c1@30,,,,,30,
138,9,3394,4249,3414,4272,3394,4249,3414,4272,r3c2,,,,,0,
1804,CRIMID,2500,4258,2551,4301,2500,4258,2551,4301,r3c1@30,,,,,30,
351,BLM.,2438,4260,2468,4278,2438,4260,2468,4278,r4c2,,,,,0,
1912,Ruiter,4316,4260,4419,4377,4316,4260,4419,4377,r4c3@30,,,,,30,
347,BLM.,2532,4264,2560,4281,2532,4264,2560,4281,r4c2,,,,,0,
121,3,4043,4264,4071,4298,4043,4264,4071,4298,r3c3,,,,,0,
789,15,3074,4268,3116,4311,3074,4268,3116,4311,r3c2@30,,,,,30,
329,BLM.,2583,4277,2609,4294,2583,4277,2609,4294,r4c2,,,,,0,
327,BLM.,2517,4280,2544,4298,2517,4280,2544,4298,r4c2,,,,,0,
323,BLM.,2607,4283,2632,4301,2607,4283,2632,4301,r4c2,,,,,0,
313,BLM.,2630,4289,2655,4306,2630,4289,2655,4306,r4c2,,,,,0,
308,BLM.,2653,4297,2677,4315,2653,4297,2677,4315,r4c2,,,,,0,
