id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
132,A.,2524,1063,2545,1079,4713,1986,4753,2015,r1c4,,,,,0,
136,105.,2423,1066,2464,1081,4525,1990,4601,2019,r1c4,,,,,0,
381,1,2765,1068,2774,1081,5165,1995,5181,2019,r1c4,,,,,0,
144,104,1884,1069,1924,1084,3519,1996,3593,2025,r1c3,,,,,0,
146,102,1513,1070,1551,1085,2826,1998,2897,2026,r1c2,,,,,0,
443,103,1688,1070,1728,1085,3153,1998,3227,2026,r1c2,,,,,0,
560,9,2843,1070,2855,1081,5310,1999,5331,2019,r1c4,,,,,0,
303,WOODEN BRIDGE.,307,1119,585,1149,574,2091,1093,2147,r1c0,,,,,0,
315,"8""W.P",1782,1135,1841,1153,3329,2120,3438,2153,r1c3,,,,,0,
400,80,2927,1153,2950,1192,5467,2153,5510,2227,r1c5,,,,,0,
447,LAFAYETTE,1724,1166,2034,1209,3220,2177,3799,2259,r1c3,,,,,0,
642,TAMPA STEAM STREET RY.,2078,1217,2372,1234,3881,2273,4430,2305,r1c3,,,,,0,
373,D.H.,1218,1260,1251,1275,2274,2352,2337,2381,r2c2,,,,,0,
347,D.H.,3061,1266,3093,1281,5718,2364,5776,2393,r2c5,,,,,0,
331,N°,2679,1273,2693,1283,5003,2378,5030,2395,r2c4,,,,,0,
328,"8""",2568,1275,2584,1285,4796,2381,4826,2400,r2c4,,,,,0,
324,"8""",2351,1276,2368,1287,4390,2384,4423,2404,r2c4,,,,,0,
382,119,2827,1276,2858,1293,5280,2384,5337,2414,r2c5,,,,,0,
319,"8""",2465,1278,2481,1288,4604,2387,4634,2405,r2c4,,,,,0,
308,117,2643,1282,2672,1298,4937,2394,4990,2424,r2c4,,,,,0,
305,116,2588,1283,2614,1299,4834,2397,4882,2426,r2c4,,,,,0,
299,116,2535,1284,2563,1300,4735,2398,4786,2428,r2c4,,,,,0,
